accession,year,state
CY013200,1993,New York
CY013781,1993,New York
CY012128,1993,New York
CY013613,1993,New York
CY012160,1993,New York
CY012272,1994,New York
CY010988,1994,New York
CY012288,1994,New York
CY012568,1994,New York
CY013016,1994,New York
CY012480,1995,New York
CY010748,1995,New York
CY011528,1995,New York
CY017291,1995,New York
CY012504,1995,New York
CY009476,1996,New York
CY010028,1996,New York
CY011128,1996,New York
CY010036,1996,New York
CY011424,1996,New York
CY006259,1997,New York
CY006243,1997,New York
CY006267,1997,New York
CY006235,1997,New York
CY006627,1997,New York
CY006787,1998,New York
CY006563,1998,New York
CY002384,1998,New York
CY008964,1998,New York
CY006595,1998,New York
CY001453,1999,New York
CY001413,1999,New York
CY001704,1999,New York
CY001616,1999,New York
CY003785,1999,New York
CY000737,2000,New York
CY001365,2000,New York
CY003272,2000,New York
CY000705,2000,New York
CY000657,2000,New York
CY002816,2001,New York
CY000584,2001,New York
CY001720,2001,New York
CY000185,2001,New York
CY002328,2001,New York
CY000297,2002,New York
CY003096,2002,New York
CY000545,2002,New York
CY000289,2002,New York
CY001152,2002,New York
CY000105,2003,New York
CY002104,2003,Tennessee
CY001648,2003,New York
CY000353,2003,New York
CY001552,2003,New York
CY019245,2004,New York
CY021989,2004,New York
CY003336,2004,New York
CY003664,2004,New York
CY002432,2004,New York
CY003640,2005,New York
CY019301,2005,New York
CY019285,2005,New York
CY006155,2005,New York
CY034116,2005,Wisconsin
EF554795,2006,Ohio
CY019859,2006,New York
EU100713,2006,Maryland
CY019843,2006,New York
CY014159,2006,New York
EU199369,2007,Minnesota
EU199254,2007,Idaho
CY031555,2007,Kentucky
EU516036,2007,Georgia
EU516212,2007,California
FJ549055,2008,Illinois
EU779498,2008,Mississippi
EU779500,2008,Indiana
CY035190,2008,Pennsylvania
EU852005,2008,Texas
